productname;date;farmprice;atlantaretail;chicagoretail;losangelesretail;newyorkretail;averagespread
Cauliflower;2018-07-29;$0.65;$2.33;$3.33;$3.38;$2.86;357.69%
Carrots;2018-07-29;$0.30;$0.92;$0.92;$0.99;$1.05;223.33%
Cantaloupe;2018-07-29;$0.38;$2.17;$2.39;$1.81;$2.62;491.45%
Broccoli Crowns;2018-07-29;$0.66;$2.14;$1.95;$1.92;$2.09;206.82%
Avocados;2018-07-29;$1.03;$0.97;$1.59;$1.25;$1.59;31.07%
Flame Grapes;2018-07-25;$1.05;$2.32;$2.16;$2.74;$3.09;145.48%
Cauliflower;2018-07-25;$0.64;$2.34;$3.26;$3.48;$2.82;364.84%
Broccoli Bunches;2018-07-25;$0.53;$1.65;$1.88;$1.49;$1.76;219.81%
Tomatoes;2018-07-22;$0.34;$1.49;$1.46;$1.47;$1.65;346.32%
Strawberries;2018-07-22;$0.84;$2.32;$2.42;$2.75;$2.81;206.55%
Romaine Lettuce;2018-07-22;$0.30;$1.69;$1.99;$1.42;$1.83;477.50%
Red Leaf Lettuce;2018-07-22;$0.30;$1.69;$1.75;$1.42;$1.66;443.33%
Potatoes;2018-07-22;$1.80;$4.97;$4.14;$3.99;$5.97;164.86%
Plums;2018-07-22;$0.86;$1.99;$2.26;$1.99;$1.99;139.24%
Peaches;2018-07-22;$0.64;$2.30;$1.64;$1.74;$1.99;199.61%
Oranges;2018-07-22;$0.53;$1.58;$1.36;$1.87;$2.12;226.89%
Nectarines;2018-07-22;$0.72;$2.16;$2.29;$1.74;$1.99;184.03%
Iceberg Lettuce;2018-07-22;$0.37;$1.06;$1.31;$1.14;$1.56;242.57%
Honeydews;2018-07-22;$0.67;$3.61;$3.21;$3.85;$4.61;470.15%
Green Leaf Lettuce;2018-07-22;$0.32;$1.69;$1.71;$1.42;$1.47;391.41%
Flame Grapes;2018-07-22;$1.01;$2.53;$2.69;$2.24;$3.09;161.14%
Celery;2018-07-22;$0.35;$1.64;$1.74;$1.99;$1.54;393.57%
Cauliflower;2018-07-22;$0.66;$2.59;$3.26;$3.48;$2.86;361.74%
Carrots;2018-07-22;$0.30;$0.92;$0.85;$0.99;$1.29;237.50%
Cantaloupe;2018-07-22;$0.38;$2.39;$2.25;$1.49;$2.49;467.11%
Broccoli Crowns;2018-07-22;$0.48;$2.14;$1.95;$1.99;$1.46;292.71%
Broccoli Bunches;2018-07-22;$0.44;$1.98;$1.64;$1.49;$1.76;290.34%
Avocados;2018-07-22;$0.86;$0.97;$1.69;$1.06;$1.48;51.16%
Tomatoes;2018-07-15;$0.34;$1.49;$1.46;$1.34;$1.54;328.68%
Thompson Grapes;2018-07-15;$1.16;$2.32;$2.41;$2.74;$3.11;128.02%
Strawberries;2018-07-15;$1.22;$2.71;$2.26;$2.66;$3.24;122.75%
Romaine Lettuce;2018-07-15;$0.31;$1.69;$2.16;$1.34;$1.83;466.13%
Red Leaf Lettuce;2018-07-15;$0.30;$1.69;$1.66;$1.34;$1.57;421.67%
Potatoes;2018-07-15;$1.80;$4.72;$4.64;$3.99;$5.97;168.33%
Peaches;2018-07-15;$0.64;$2.75;$1.79;$1.99;$1.99;232.81%
Oranges;2018-07-15;$0.53;$1.58;$1.54;$1.74;$2.30;237.74%
Nectarines;2018-07-15;$0.72;$2.37;$1.84;$1.99;$1.99;184.38%
Iceberg Lettuce;2018-07-15;$0.55;$1.05;$1.39;$1.14;$1.56;133.64%
Honeydews;2018-07-15;$0.83;$3.94;$3.21;$3.85;$4.36;362.65%
Green Leaf Lettuce;2018-07-15;$0.34;$1.69;$1.59;$1.34;$1.47;347.79%
Celery;2018-07-15;$0.48;$1.64;$1.89;$1.99;$1.62;271.88%
Carrots;2018-07-15;$0.30;$0.92;$0.92;$0.99;$1.19;235.00%
Cantaloupe;2018-07-15;$0.42;$2.64;$2.32;$2.25;$2.49;477.38%
Broccoli Crowns;2018-07-15;$0.42;$2.18;$1.95;$1.99;$1.84;373.81%
Avocados;2018-07-15;$0.87;$1.17;$1.34;$1.25;$1.59;53.74%
Tomatoes;2018-07-08;$0.36;$1.49;$1.46;$1.39;$1.66;316.67%
Strawberries;2018-07-08;$1.16;$2.08;$2.04;$2.09;$2.74;92.89%
Romaine Lettuce;2018-07-08;$0.32;$1.69;$1.84;$1.42;$1.74;422.66%
Red Leaf Lettuce;2018-07-08;$0.30;$1.89;$1.75;$1.42;$1.90;480.00%
Potatoes;2018-07-08;$1.75;$5.44;$4.64;$3.99;$5.97;186.29%
Plums;2018-07-08;$0.86;$1.99;$2.11;$1.99;$1.99;134.88%
Peaches;2018-07-08;$0.64;$2.19;$1.59;$1.99;$1.99;203.13%
Oranges;2018-07-08;$0.53;$1.45;$1.49;$1.74;$2.68;247.17%
Nectarines;2018-07-08;$0.72;$1.89;$1.59;$1.99;$1.99;159.03%
Iceberg Lettuce;2018-07-08;$0.40;$0.99;$1.39;$1.14;$1.56;217.50%
Honeydews;2018-07-08;$0.83;$3.94;$2.62;$3.85;$4.61;352.41%
Green Leaf Lettuce;2018-07-08;$0.33;$1.69;$1.71;$1.42;$1.64;389.39%
Celery;2018-07-08;$0.52;$1.51;$1.89;$1.99;$1.62;237.02%
Cauliflower;2018-07-08;$0.60;$2.52;$3.38;$3.48;$3.11;420.42%
Carrots;2018-07-08;$0.30;$0.92;$0.92;$0.99;$1.29;243.33%
Cantaloupe;2018-07-08;$0.46;$2.25;$1.87;$2.37;$2.74;401.63%
Broccoli Crowns;2018-07-08;$0.60;$2.22;$2.13;$1.99;$2.21;256.25%
Broccoli Bunches;2018-07-08;$0.44;$1.65;$1.88;$1.49;$1.76;285.23%
Avocados;2018-07-08;$0.87;$1.05;$1.50;$1.25;$1.62;55.75%
Tomatoes;2018-07-01;$0.36;$1.49;$1.46;$1.52;$1.66;325.69%
Thompson Grapes;2018-07-01;$1.39;$2.76;$2.94;$2.99;$3.74;123.56%
Strawberries;2018-07-01;$1.00;$1.96;$1.88;$2.87;$3.24;148.75%
Romaine Lettuce;2018-07-01;$0.31;$1.62;$2.09;$1.42;$1.74;454.03%
Red Leaf Lettuce;2018-07-01;$0.31;$1.62;$1.71;$1.42;$;283.06%
Potatoes;2018-07-01;$1.75;$4.72;$4.97;$3.99;$5.97;180.71%
Oranges;2018-07-01;$0.53;$1.74;$1.49;$1.59;$2.36;238.68%
Nectarines;2018-07-01;$0.76;$1.49;$1.64;$1.99;$1.99;133.88%
Iceberg Lettuce;2018-07-01;$0.41;$0.99;$1.39;$1.14;$1.75;221.34%
Honeydews;2018-07-01;$1.08;$3.61;$2.82;$3.66;$4.61;240.28%
Green Leaf Lettuce;2018-07-01;$0.30;$1.62;$1.63;$1.42;$1.51;415.00%
Celery;2018-07-01;$0.53;$1.64;$1.89;$1.99;$1.62;236.79%
Cauliflower;2018-07-01;$0.64;$2.79;$2.88;$3.48;$2.99;374.22%
Carrots;2018-07-01;$0.30;$0.92;$0.92;$0.99;$1.29;243.33%
Cantaloupe;2018-07-01;$0.46;$2.29;$1.80;$2.74;$2.74;420.11%
Broccoli Crowns;2018-07-01;$0.61;$2.22;$2.13;$1.99;$2.09;245.49%
Broccoli Bunches;2018-07-01;$0.47;$1.52;$1.88;$1.49;$1.76;253.72%
Avocados;2018-07-01;$0.89;$0.89;$1.52;$1.25;$1.48;44.38%
Tomatoes;2018-06-24;$0.32;$1.49;$1.59;$1.39;$1.72;383.59%
Thompson Grapes;2018-06-24;$1.44;$2.56;$3.49;$2.99;$3.61;119.62%
Strawberries;2018-06-24;$1.06;$2.24;$1.99;$2.25;$2.74;117.45%
Romaine Lettuce;2018-06-24;$0.31;$1.62;$1.99;$1.42;$1.74;445.97%
Red Leaf Lettuce;2018-06-24;$0.29;$1.79;$1.75;$1.42;$1.79;481.90%
Potatoes;2018-06-24;$1.65;$4.72;$4.81;$3.99;$5.97;195.30%
Plums;2018-06-24;$1.14;$1.99;$1.69;$2.24;$2.99;95.39%
Oranges;2018-06-24;$0.53;$2.04;$1.45;$1.54;$2.36;248.58%
Iceberg Lettuce;2018-06-24;$0.52;$0.99;$1.31;$1.14;$1.64;144.23%
Honeydews;2018-06-24;$1.58;$3.61;$3.39;$2.98;$5.32;142.09%
Green Leaf Lettuce;2018-06-24;$0.29;$1.62;$1.71;$1.42;$1.64;450.86%
Flame Grapes;2018-06-24;$1.44;$2.71;$3.49;$2.99;$3.21;115.28%
Celery;2018-06-24;$0.46;$1.35;$1.76;$1.99;$1.62;265.22%
Cauliflower;2018-06-24;$0.65;$2.54;$3.38;$3.48;$2.99;376.54%
Carrots;2018-06-24;$0.29;$0.92;$0.85;$0.99;$1.05;228.45%
Cantaloupe;2018-06-24;$0.54;$2.19;$2.12;$1.99;$2.37;301.39%
Broccoli Crowns;2018-06-24;$0.49;$2.22;$1.95;$1.99;$1.96;314.29%
Broccoli Bunches;2018-06-24;$0.41;$1.65;$1.77;$1.49;$1.76;306.71%
Avocados;2018-06-24;$0.89;$0.94;$1.39;$1.25;$1.54;43.82%
Thompson Grapes;2018-06-17;$1.89;$2.33;$3.24;$2.49;$3.46;52.38%
Strawberries;2018-06-17;$0.81;$2.51;$2.19;$2.49;$2.74;206.48%
Romaine Lettuce;2018-06-17;$0.30;$1.62;$2.09;$1.42;$1.93;488.33%
Red Leaf Lettuce;2018-06-17;$0.29;$1.62;$1.71;$1.42;$1.66;452.59%
Potatoes;2018-06-17;$1.65;$4.94;$4.97;$3.99;$5.97;201.06%
Oranges;2018-06-17;$0.53;$1.74;$1.49;$1.54;$2.36;236.32%
Iceberg Lettuce;2018-06-17;$0.71;$0.99;$1.06;$1.14;$1.65;70.42%
Honeydews;2018-06-17;$1.83;$3.92;$3.39;$3.29;$4.61;107.79%
Green Leaf Lettuce;2018-06-17;$0.30;$1.62;$1.63;$1.42;$1.51;415.00%
Flame Grapes;2018-06-17;$1.66;$2.45;$2.82;$2.49;$2.74;58.13%
Celery;2018-06-17;$0.31;$1.64;$1.89;$1.99;$1.69;481.45%
Cauliflower;2018-06-17;$0.65;$2.75;$3.38;$3.48;$2.99;384.62%
Carrots;2018-06-17;$0.29;$0.99;$0.92;$0.99;$1.15;249.14%
Cantaloupe;2018-06-17;$0.54;$1.94;$1.82;$1.99;$2.99;304.63%
Broccoli Crowns;2018-06-17;$0.45;$1.59;$2.13;$1.99;$1.99;327.78%
Broccoli Bunches;2018-06-17;$0.46;$1.52;$1.88;$1.49;$1.63;254.35%
Avocados;2018-06-17;$0.86;$0.97;$1.39;$1.25;$1.43;46.51%
Thompson Grapes;2018-06-10;$1.89;$2.43;$2.84;$1.66;$3.46;37.43%
Strawberries;2018-06-10;$0.84;$2.47;$1.99;$2.62;$2.74;192.26%
Romaine Lettuce;2018-06-10;$0.28;$1.62;$2.09;$1.42;$2.08;543.75%
Red Leaf Lettuce;2018-06-10;$0.29;$1.62;$1.75;$1.42;$1.79;467.24%
Potatoes;2018-06-10;$1.70;$4.47;$4.31;$3.99;$5.97;175.59%
Peaches;2018-06-10;$0.72;$0.79;$1.74;$1.99;$3.99;195.49%
Oranges;2018-06-10;$0.53;$1.62;$1.49;$1.49;$2.36;228.30%
Iceberg Lettuce;2018-06-10;$0.68;$0.99;$0.94;$1.14;$1.52;68.75%
Honeydews;2018-06-10;$1.83;$3.94;$3.39;$3.41;$4.61;109.70%
Green Leaf Lettuce;2018-06-10;$0.30;$1.62;$1.71;$1.42;$1.64;432.50%
Flame Grapes;2018-06-10;$1.66;$2.23;$2.91;$1.66;$2.86;45.48%
Celery;2018-06-10;$0.31;$1.35;$1.89;$1.99;$1.69;458.06%
Cauliflower;2018-06-10;$0.61;$2.75;$2.24;$3.53;$3.11;376.64%
Carrots;2018-06-10;$0.29;$0.92;$0.89;$0.99;$1.39;261.21%
Cantaloupe;2018-06-10;$0.66;$1.79;$2.20;$2.50;$2.99;259.09%
Broccoli Crowns;2018-06-10;$0.55;$1.65;$2.10;$1.99;$2.11;256.82%
Broccoli Bunches;2018-06-10;$0.53;$1.65;$1.64;$1.49;$1.63;202.36%
Avocados;2018-06-10;$0.86;$0.97;$1.59;$1.24;$1.62;57.56%
Strawberries;2018-06-07;$0.94;$2.37;$2.07;$2.99;$2.94;175.80%
Thompson Grapes;2018-06-03;$1.83;$2.48;$2.44;$2.74;$2.99;45.49%
Strawberries;2018-06-03;$0.81;$2.54;$1.88;$2.75;$2.61;201.85%
Romaine Lettuce;2018-06-03;$0.30;$1.62;$2.09;$1.42;$1.99;493.33%
Red Leaf Lettuce;2018-06-03;$0.31;$1.62;$1.78;$1.42;$1.66;422.58%
Potatoes;2018-06-03;$1.65;$4.47;$4.31;$3.99;$5.72;180.15%
Oranges;2018-06-03;$0.77;$1.62;$1.39;$1.42;$2.17;114.29%
Iceberg Lettuce;2018-06-03;$0.32;$0.99;$1.36;$1.24;$1.39;289.06%
Honeydews;2018-06-03;$1.66;$3.94;$2.69;$3.35;$4.36;115.96%
Green Leaf Lettuce;2018-06-03;$0.31;$1.62;$1.63;$1.42;$1.51;398.39%
Flame Grapes;2018-06-03;$1.50;$2.28;$2.69;$1.87;$2.24;51.33%
Celery;2018-06-03;$0.33;$1.64;$1.86;$1.94;$1.62;434.85%
Cauliflower;2018-06-03;$0.67;$2.75;$3.23;$3.18;$3.15;359.33%
Carrots;2018-06-03;$0.28;$0.92;$0.85;$0.99;$1.15;249.11%
Cantaloupe;2018-06-03;$0.75;$2.23;$2.19;$2.24;$2.74;213.33%
Broccoli Crowns;2018-06-03;$0.71;$1.65;$1.95;$1.99;$2.11;171.13%
Broccoli Bunches;2018-06-03;$0.70;$1.63;$1.86;$1.49;$1.63;136.07%
Avocados;2018-06-03;$0.86;$0.95;$1.35;$1.25;$1.62;50.29%
Thompson Grapes;2018-05-27;$1.78;$3.02;$2.89;$3.24;$3.44;76.83%
Romaine Lettuce;2018-05-27;$0.31;$1.62;$2.07;$1.32;$1.99;464.52%
Red Leaf Lettuce;2018-05-27;$0.34;$1.62;$1.68;$1.32;$1.81;372.79%
Potatoes;2018-05-27;$1.65;$4.37;$4.43;$3.99;$5.81;181.82%
Peaches;2018-05-27;$0.96;$2.99;$1.99;$2.32;$3.14;171.88%
Oranges;2018-05-27;$0.72;$1.43;$1.32;$1.34;$1.75;102.78%
Nectarines;2018-05-27;$1.04;$2.99;$1.99;$2.32;$1.99;123.32%
Iceberg Lettuce;2018-05-27;$0.33;$0.99;$1.36;$1.29;$1.21;267.42%
Honeydews;2018-05-27;$1.66;$3.61;$3.16;$3.16;$4.11;111.45%
Green Leaf Lettuce;2018-05-27;$0.35;$1.62;$1.61;$1.32;$1.65;342.86%
Flame Grapes;2018-05-27;$1.33;$2.57;$2.46;$1.99;$2.44;77.82%
Celery;2018-05-27;$0.32;$1.35;$1.60;$1.94;$1.93;432.81%
Cauliflower;2018-05-27;$0.94;$2.82;$2.98;$3.58;$3.36;238.83%
Carrots;2018-05-27;$0.29;$0.92;$0.92;$0.99;$1.02;231.90%
Cantaloupe;2018-05-27;$0.95;$2.62;$2.49;$1.56;$2.62;144.47%
Broccoli Crowns;2018-05-27;$0.82;$1.65;$1.98;$1.99;$1.86;128.05%
Broccoli Bunches;2018-05-27;$0.79;$1.81;$1.86;$1.49;$1.63;114.87%
Avocados;2018-05-27;$0.86;$0.95;$1.47;$0.99;$1.59;45.35%
Strawberries;2018-05-20;$0.66;$2.45;$1.81;$2.12;$2.96;253.79%
Romaine Lettuce;2018-05-20;$0.30;$1.62;$1.99;$1.32;$1.99;476.67%
Red Leaf Lettuce;2018-05-20;$0.38;$1.62;$1.83;$1.42;$1.89;344.74%
Potatoes;2018-05-20;$1.65;$4.37;$4.31;$3.99;$5.72;178.64%
Oranges;2018-05-20;$0.70;$1.43;$1.35;$1.34;$2.39;132.50%
Iceberg Lettuce;2018-05-20;$0.34;$0.99;$1.24;$1.24;$1.66;277.21%
Honeydews;2018-05-20;$1.66;$2.67;$3.14;$3.66;$4.36;108.28%
Green Leaf Lettuce;2018-05-20;$0.38;$1.62;$1.71;$1.42;$1.80;330.92%
Flame Grapes;2018-05-20;$1.39;$2.31;$2.21;$2.62;$2.81;78.96%
Celery;2018-05-20;$0.32;$1.64;$1.86;$1.99;$1.62;455.47%
Cauliflower;2018-05-20;$1.05;$2.75;$2.98;$3.48;$3.36;199.29%
Carrots;2018-05-20;$0.29;$0.92;$0.85;$0.99;$1.15;237.07%
Cantaloupe;2018-05-20;$0.95;$2.22;$2.48;$2.24;$2.74;154.74%
Broccoli Crowns;2018-05-20;$0.86;$1.65;$1.83;$1.99;$1.74;109.59%
Broccoli Bunches;2018-05-20;$0.80;$1.81;$1.93;$1.49;$1.63;114.38%
Avocados;2018-05-20;$0.83;$0.94;$1.69;$1.25;$1.51;62.35%
Strawberries;2018-05-13;$0.59;$2.62;$1.94;$1.75;$2.96;292.80%
Romaine Lettuce;2018-05-13;$0.30;$1.62;$2.07;$1.32;$1.99;483.33%
Red Leaf Lettuce;2018-05-13;$0.54;$1.62;$1.68;$1.32;$1.81;197.69%
Potatoes;2018-05-13;$1.65;$4.37;$4.43;$3.99;$5.72;180.45%
Oranges;2018-05-13;$0.66;$1.38;$1.40;$1.34;$2.00;131.82%
Iceberg Lettuce;2018-05-13;$0.50;$0.99;$1.36;$1.29;$1.59;161.50%
Honeydews;2018-05-13;$1.29;$3.61;$3.16;$3.66;$4.11;181.78%
Green Leaf Lettuce;2018-05-13;$0.53;$1.62;$1.61;$1.32;$1.65;192.45%
Celery;2018-05-13;$0.32;$1.35;$1.85;$1.94;$1.86;446.88%
Cauliflower;2018-05-13;$1.41;$2.42;$3.21;$3.48;$3.36;121.10%
Carrots;2018-05-13;$0.29;$0.92;$0.92;$0.99;$1.02;231.90%
Cantaloupe;2018-05-13;$0.91;$2.37;$1.99;$2.86;$2.99;180.49%
Broccoli Crowns;2018-05-13;$0.88;$1.65;$1.73;$1.99;$2.11;112.50%
Broccoli Bunches;2018-05-13;$0.88;$1.65;$1.86;$1.49;$1.63;88.35%
Avocados;2018-05-13;$0.83;$0.97;$1.31;$0.99;$1.59;46.39%
Asparagus;2018-05-13;$2.43;$2.48;$2.07;$4.12;$3.86;28.91%
Strawberries;2018-05-06;$0.63;$2.57;$2.07;$1.62;$2.99;267.06%
Romaine Lettuce;2018-05-06;$0.32;$1.62;$2.17;$1.77;$1.99;489.84%
Red Leaf Lettuce;2018-05-06;$0.70;$1.62;$1.88;$1.74;$1.95;156.79%
Potatoes;2018-05-06;$1.60;$4.37;$4.31;$3.99;$5.72;187.34%
Oranges;2018-05-06;$0.63;$1.42;$1.40;$1.34;$2.17;151.19%
Iceberg Lettuce;2018-05-06;$0.80;$0.99;$1.36;$1.34;$1.59;65.00%
Green Leaf Lettuce;2018-05-06;$0.77;$1.62;$1.83;$1.32;$1.80;113.31%
Celery;2018-05-06;$0.39;$1.35;$1.89;$1.94;$1.53;330.13%
Cauliflower;2018-05-06;$2.25;$2.42;$2.48;$3.48;$3.36;30.44%
Carrots;2018-05-06;$0.29;$0.92;$0.85;$0.99;$1.09;231.90%
Cantaloupe;2018-05-06;$1.02;$2.49;$2.23;$2.24;$2.41;129.66%
Broccoli Crowns;2018-05-06;$0.78;$1.65;$1.77;$1.74;$1.86;125.00%
Broccoli Bunches;2018-05-06;$0.64;$1.81;$1.86;$1.66;$1.63;171.88%
Avocados;2018-05-06;$0.85;$0.97;$1.51;$1.25;$1.50;53.82%
Asparagus;2018-05-06;$2.80;$2.47;$2.56;$3.71;$3.69;10.98%
Strawberries;2018-04-29;$1.04;$2.77;$2.45;$2.75;$3.49;175.48%
Romaine Lettuce;2018-04-29;$0.34;$1.62;$2.22;$1.47;$1.83;425.00%
Red Leaf Lettuce;2018-04-29;$0.69;$1.62;$1.71;$1.42;$1.81;137.68%
Potatoes;2018-04-29;$1.60;$4.37;$4.14;$3.99;$5.72;184.69%
Oranges;2018-04-29;$0.63;$1.29;$1.32;$1.34;$1.88;131.35%
Iceberg Lettuce;2018-04-29;$0.77;$0.99;$1.36;$1.29;$1.59;69.81%
Green Leaf Lettuce;2018-04-29;$0.76;$1.62;$1.63;$1.42;$1.65;107.89%
Celery;2018-04-29;$0.34;$1.35;$1.86;$1.94;$1.41;382.35%
Cauliflower;2018-04-29;$1.40;$2.49;$2.32;$3.68;$2.74;100.54%
Carrots;2018-04-29;$0.29;$0.92;$0.85;$0.99;$1.09;231.90%
Broccoli Crowns;2018-04-29;$0.41;$1.65;$1.95;$1.99;$1.79;350.00%
Broccoli Bunches;2018-04-29;$0.36;$1.65;$1.86;$1.49;$1.65;361.81%
Avocados;2018-04-29;$0.85;$0.82;$0.97;$0.84;$0.89;3.53%
Asparagus;2018-04-29;$2.52;$2.86;$3.08;$3.62;$2.98;24.40%
Strawberries;2018-04-22;$1.23;$2.65;$2.66;$2.75;$3.46;134.15%
Romaine Lettuce;2018-04-22;$0.50;$1.62;$2.09;$1.52;$1.99;261.00%
Red Leaf Lettuce;2018-04-22;$0.68;$1.42;$1.83;$1.44;$1.79;138.24%
Potatoes;2018-04-22;$1.60;$4.37;$3.81;$3.99;$5.72;179.53%
Oranges;2018-04-22;$0.57;$1.29;$1.32;$0.96;$2.00;144.30%
Iceberg Lettuce;2018-04-22;$0.63;$0.99;$1.49;$1.19;$1.59;108.73%
Green Leaf Lettuce;2018-04-22;$0.72;$1.62;$1.71;$1.44;$1.64;122.57%
Celery;2018-04-22;$0.32;$1.35;$1.89;$1.99;$1.36;414.84%
Cauliflower;2018-04-22;$0.67;$2.82;$2.48;$3.68;$2.48;327.61%
Carrots;2018-04-22;$0.29;$0.92;$0.85;$0.99;$1.35;254.31%
Broccoli Crowns;2018-04-22;$0.38;$1.69;$1.58;$1.99;$2.11;384.87%
Broccoli Bunches;2018-04-22;$0.40;$1.65;$1.53;$1.66;$1.63;304.38%
Avocados;2018-04-22;$0.85;$0.99;$1.54;$1.43;$1.59;63.24%
Asparagus;2018-04-22;$2.43;$2.56;$2.61;$3.49;$3.24;22.43%
Strawberries;2018-04-15;$1.33;$2.65;$2.37;$1.87;$4.21;108.65%
Romaine Lettuce;2018-04-15;$0.72;$1.62;$2.22;$1.47;$1.83;147.92%
Red Leaf Lettuce;2018-04-15;$0.56;$1.42;$1.71;$1.42;$1.66;177.23%
Potatoes;2018-04-15;$1.60;$4.37;$4.47;$3.99;$4.44;169.84%
Oranges;2018-04-15;$0.54;$1.29;$1.27;$1.34;$1.88;167.59%
Iceberg Lettuce;2018-04-15;$0.46;$0.99;$1.19;$1.29;$1.59;175.00%
Green Leaf Lettuce;2018-04-15;$0.64;$1.42;$1.63;$1.42;$1.61;137.50%
Celery;2018-04-15;$0.37;$1.35;$1.99;$1.94;$1.61;365.54%
Cauliflower;2018-04-15;$0.83;$2.82;$2.06;$3.18;$2.99;232.83%
Carrots;2018-04-15;$0.29;$0.99;$0.95;$0.99;$1.29;263.79%
Broccoli Crowns;2018-04-15;$0.51;$1.69;$1.65;$1.74;$1.86;240.20%
Broccoli Bunches;2018-04-15;$0.46;$1.65;$1.53;$1.49;$1.63;242.39%
Avocados;2018-04-15;$0.85;$0.99;$1.51;$1.31;$1.59;58.82%
Asparagus;2018-04-15;$1.43;$2.76;$1.98;$2.74;$2.99;83.04%
Strawberries;2018-04-08;$1.38;$2.78;$3.31;$1.87;$5.49;143.66%
Romaine Lettuce;2018-04-08;$0.77;$1.79;$2.09;$1.57;$1.99;141.56%
Red Leaf Lettuce;2018-04-08;$0.55;$1.42;$1.83;$1.47;$1.79;195.91%
Potatoes;2018-04-08;$1.60;$4.22;$3.81;$3.99;$5.72;177.19%
Oranges;2018-04-08;$0.52;$1.29;$1.32;$0.99;$2.11;174.52%
Iceberg Lettuce;2018-04-08;$0.43;$0.99;$1.24;$1.29;$1.59;197.09%
Green Leaf Lettuce;2018-04-08;$0.60;$1.42;$1.71;$1.47;$1.64;160.00%
Celery;2018-04-08;$0.37;$1.35;$1.89;$1.94;$1.69;364.19%
Cauliflower;2018-04-08;$0.77;$2.98;$3.41;$3.33;$3.36;324.68%
Carrots;2018-04-08;$0.29;$0.92;$0.95;$0.99;$1.15;245.69%
Broccoli Crowns;2018-04-08;$0.45;$1.69;$1.77;$1.99;$1.86;306.11%
Broccoli Bunches;2018-04-08;$0.38;$1.81;$1.60;$1.49;$1.63;329.61%
Avocados;2018-04-08;$0.47;$1.04;$1.43;$1.44;$1.35;179.79%
Asparagus;2018-04-08;$1.52;$3.36;$2.66;$3.24;$3.36;107.57%
Strawberries;2018-04-01;$1.75;$2.99;$2.99;$2.75;$2.92;66.43%
Romaine Lettuce;2018-04-01;$0.67;$1.62;$2.22;$1.57;$1.90;172.76%
Red Leaf Lettuce;2018-04-01;$0.39;$1.42;$1.71;$1.57;$1.87;321.15%
Potatoes;2018-04-01;$1.60;$4.22;$4.64;$3.99;$5.72;190.16%
Oranges;2018-04-01;$0.52;$1.30;$1.27;$1.34;$1.88;178.37%
Iceberg Lettuce;2018-04-01;$0.37;$0.99;$1.36;$1.39;$1.66;264.86%
Green Leaf Lettuce;2018-04-01;$0.44;$1.42;$1.63;$1.47;$1.76;256.82%
Celery;2018-04-01;$0.41;$1.35;$1.36;$1.94;$1.44;271.34%
Cauliflower;2018-04-01;$0.74;$2.82;$3.41;$3.78;$3.61;360.14%
Carrots;2018-04-01;$0.29;$0.92;$0.89;$0.99;$1.12;237.93%
Broccoli Crowns;2018-04-01;$0.34;$1.69;$1.73;$1.99;$1.86;434.56%
Broccoli Bunches;2018-04-01;$0.34;$1.65;$1.86;$1.49;$1.63;387.50%
Avocados;2018-04-01;$0.86;$0.98;$1.51;$1.17;$1.62;53.49%
Asparagus;2018-04-01;$1.61;$2.86;$2.86;$3.12;$3.19;86.80%
Strawberries;2018-03-25;$2.00;$2.76;$2.94;$2.56;$3.62;48.50%
Romaine Lettuce;2018-03-25;$0.68;$1.69;$2.09;$1.57;$2.07;172.79%
Red Leaf Lettuce;2018-03-25;$0.41;$1.42;$1.73;$1.47;$1.82;292.68%
Potatoes;2018-03-25;$1.60;$4.22;$4.64;$3.99;$6.99;210.00%
Oranges;2018-03-25;$0.51;$1.42;$1.14;$1.34;$1.88;183.33%
Iceberg Lettuce;2018-03-25;$0.42;$0.87;$1.41;$1.39;$1.65;216.67%
Green Leaf Lettuce;2018-03-25;$0.50;$1.42;$1.76;$1.47;$1.74;219.50%
Celery;2018-03-25;$0.48;$1.35;$1.91;$1.94;$1.49;248.44%
Cauliflower;2018-03-25;$1.39;$2.98;$2.22;$3.78;$3.56;125.54%
Carrots;2018-03-25;$0.29;$0.92;$0.92;$0.99;$0.94;225.00%
Broccoli Crowns;2018-03-25;$0.39;$1.69;$1.90;$1.99;$1.61;360.90%
Broccoli Bunches;2018-03-25;$0.37;$1.81;$1.27;$1.49;$1.63;318.92%
Avocados;2018-03-25;$0.86;$1.04;$1.51;$1.56;$1.62;66.57%
Asparagus;2018-03-25;$2.16;$2.56;$2.56;$3.24;$2.24;22.69%
Strawberries;2018-03-18;$1.88;$2.74;$2.50;$2.12;$3.59;45.61%
Romaine Lettuce;2018-03-18;$0.73;$1.62;$2.22;$1.57;$2.09;156.85%
Red Leaf Lettuce;2018-03-18;$0.43;$1.42;$1.71;$1.57;$1.83;279.65%
Potatoes;2018-03-18;$1.60;$4.22;$4.64;$3.99;$5.72;190.16%
Oranges;2018-03-18;$0.54;$1.42;$1.12;$1.34;$2.05;174.54%
Iceberg Lettuce;2018-03-18;$0.61;$0.99;$1.41;$1.49;$1.66;127.46%
Green Leaf Lettuce;2018-03-18;$0.53;$1.32;$1.63;$1.57;$1.79;197.64%
Celery;2018-03-18;$0.42;$1.35;$1.91;$1.94;$1.74;313.10%
Cauliflower;2018-03-18;$1.54;$2.98;$3.28;$3.78;$3.49;119.64%
